source_row,meter_number,installation_number,agreement_number,value,location,crs,source_x,source_y,latitude,longitude,bina_id,bina_value,bina_layer,method,meters,confidence,overlay,action,reason,hitIds
3742,1430924,454094,44774643,BAYLAN_LORA_W,POINT (427674.115439541 4241171.67401239),EPSG:5258,427674.115439541,4241171.67401239,38.300454072120075,38.173169115797684,5363,YILDIZLAR 4. ETAP DC-27,Maks_Bina,inside,0.000023268795084751802,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5363
3746,1429263,454622,44774683,BAYLAN_LORA_W,POINT (428760.141966971 4241518.18040552),EPSG:5258,428760.141966971,4241518.18040552,38.30366222077105,38.18554852349351,5411,YILDIZLAR 5.ETAP GB-6,Maks_Bina,inside,0.000028018513330925105,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5411
3750,1429150,456245,44774308,BAYLAN_LORA_W,POINT (428564.977815963 4241694.83552365),EPSG:5258,428564.977815963,4241694.83552365,38.30523800222573,38.183299670301814,5384,YILDIZLAR -TOKİ 5.ETAP DB-4,Maks_Bina,inside,0,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5384
3752,1429949,444419,44774170,BAYLAN_LORA_W,POINT (428401.735456071 4241079.93198749),EPSG:5258,428401.735456071,4241079.93198749,38.29968599966981,38.18149577870525,5350,YILDIZLAR 4. ETAP DC-14,Maks_Bina,inside,8.440925582932032e-7,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5350
3753,1429745,454073,44774436,BAYLAN_LORA_W,POINT (428380.934900173 4241249.22056873),EPSG:5258,428380.934900173,4241249.22056873,38.301209276808436,38.18124087131406,5347,YILDIZLAR 4. ETAP DC-11,Maks_Bina,inside,0.000008563348349619926,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5347
3754,1429328,454898,44775022,BAYLAN_LORA_W,POINT (428623.398744433 4241655.30658628),EPSG:5258,428623.398744433,4241655.30658628,38.304886577183865,38.18397151035823,5386,YILDIZLAR -TOKİ 5.ETAP DB-7,Maks_Bina,inside,0,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5386
3755,1429663,454122,44788333,BAYLAN_LORA_W,POINT (428291.120055309 4241386.27374485),EPSG:5258,428291.120055309,4241386.27374485,38.30243666836929,38.18020029803695,5317,YILDIZLAR 4.ETAP DB-9,Maks_Bina,inside,0.000034799679049049205,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5317
3758,1429786,456240,44774684,BAYLAN_LORA_W,POINT (428323.688227219 4241334.39062957),EPSG:5258,428323.688227219,4241334.39062957,38.30197191143568,38.180577850634315,5346,YILDIZLAR 4. ETAP DC-10,Maks_Bina,inside,0.00003451435870868702,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5346
3759,1430286,450943,44774188,BAYLAN_LORA_W,POINT (428160.324094807 4241023.48775208),EPSG:5258,428160.324094807,4241023.48775208,38.29915826779897,38.1787419818575,5356,YILDIZLAR 4. ETAP DC-20,Maks_Bina,inside,0,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5356
3760,1430815,454865,44774331,BAYLAN_LORA_W,POINT (427823.499740101 4241236.84127017),EPSG:5258,427823.499740101,4241236.84127017,38.30105311588916,38.17487006663647,5378,YILDIZLAR 4. ETAP GB-15,Maks_Bina,inside,0.000027831751115005037,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5378
3762,1430648,454941,44774573,BAYLAN_LORA_W,POINT (428184.203406156 4241307.9311159),EPSG:5258,428184.203406156,4241307.9311159,38.30172241748694,38.17898606174663,5318,YILDIZLAR 4.ETAP DB-10,Maks_Bina,inside,0.000034775924738146854,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5318
3763,1429221,454151,44774990,BAYLAN_LORA_W,POINT (428729.436429116 4241610.47085171),EPSG:5258,428729.436429116,4241610.47085171,38.30449112748716,38.18518821413361,5388,YILDIZLAR -TOKİ 5.ETAP DB-9,Maks_Bina,inside,0,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5388
3764,1431014,454867,44774376,BAYLAN_LORA_W,POINT (427823.499740101 4241236.84127017),EPSG:5258,427823.499740101,4241236.84127017,38.30105311588916,38.17487006663647,5378,YILDIZLAR 4. ETAP GB-15,Maks_Bina,inside,0.000027831751115005037,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5378
