source_row,meter_number,installation_number,agreement_number,value,location,crs,source_x,source_y,latitude,longitude,bina_id,bina_value,bina_layer,method,meters,confidence,overlay,action,reason,hitIds
12112,40005241,464070,44796406,POLIMETER_LORA_W,POINT (438246.281000375 4245410.76811139),EPSG:5258,438246.281000375,4245410.76811139,38.339429912616524,38.293650661620134,412,A TİC5-1,P_KONUT_DÜKKAN_MULTIPOLYGON [365 adet],inside,0.0000836109886043595,high,same_name_primary_layer,insert,,412|4743
12113,40001061,469269,44796390,POLIMETER_LORA_W,POINT (442480.250414553 4246640.41028319),EPSG:5258,442480.250414553,4246640.41028319,38.35078842425812,38.341976236256365,1181,T1-13,P_KONUT_MULTIPOLYGON [727 adet],inside,0.0000343691314696006,high,same_name_primary_layer,insert,,1181|4043
12117,40001494,465000,44796579,POLIMETER_LORA_W,POINT (436988.254176081 4245076.30519862),EPSG:5258,436988.254176081,4245076.30519862,38.336329500212436,38.27929203255185,3938,A1-4,RYA_MER_32_MULTIPOLYGON [1 adet],inside,0.000012356853948851005,high,,insert,,3938
12118,640014807,464519,44796634,POLIMETER_LORA_W,POINT (441979.117414806 4247462.12513101),EPSG:5258,441979.117414806,4247462.12513101,38.35815823950483,38.33617606653928,4161,A1,RYA_MER_38_39_MULTIPOLYGON [2 adet],inside,0.000040159327237650015,high,,insert,,4161
12120,40016966,464075,44796491,POLIMETER_LORA_W,POINT (438874.697807566 4247912.06847982),EPSG:5258,438874.697807566,4247912.06847982,38.362004905955544,38.30062141603913,2378,B7,RYA_MER_18_MULTIPOLYGON [1 adet],inside,0,high,,insert,,2378
12121,40007734,466803,44796502,POLIMETER_LORA_W,POINT (443191.305596356 4246659.34693913),EPSG:5258,443191.305596356,4246659.34693913,38.351004372736874,38.350108668988746,2892,A10,RYA_MER_27_MULTIPOLYGON [1 adet],inside,0,high,,insert,,2892
12127,640001245,468213,44796650,POLIMETER_LORA_W,POINT (442891.269534356 4247396.62155119),EPSG:5258,442891.269534356,4247396.62155119,38.35762678948005,38.346616779982064,1240,B2-3,P_KONUT_MULTIPOLYGON [727 adet],inside,9.686087391167266e-7,high,same_name_primary_layer,insert,,115|1240
12132,40001576,469270,44796704,POLIMETER_LORA_W,POINT (442480.629756765 4246705.98938838),EPSG:5258,442480.629756765,4246705.98938838,38.3513791956365,38.34197522964974,1179,T1-11,P_KONUT_MULTIPOLYGON [727 adet],inside,0.00003458073823706247,high,same_name_primary_layer,insert,,1179|4055
12134,640017548,464521,44796763,POLIMETER_LORA_W,POINT (438852.942869373 4247992.88354924),EPSG:5258,438852.942869373,4247992.88354924,38.36273140834907,38.30036551186486,2382,C2-5,RYA_MER_18_MULTIPOLYGON [1 adet],inside,0.000008561812068908291,high,,insert,,2382
12135,600002514,468730,44796717,POLIMETER_LORA_W,POINT (440065.973500367 4248189.16241143),EPSG:5258,440065.973500367,4248189.16241143,38.36458149999172,38.31422719546004,3863,T3-3,RYA_MER_30_MULTIPOLYGON [1 adet],inside,0,high,,insert,,3863
12137,640008629,468735,44796805,POLIMETER_LORA_W,POINT (438300.678466626 4245313.0900331),EPSG:5258,438300.678466626,4245313.0900331,38.338553765730055,38.294281361448185,863,A4,P_KONUT_MULTIPOLYGON [727 adet],inside,0.000022248791180317375,high,same_name_primary_layer,insert,,863|4749
12140,640004590,464429,44797038,POLIMETER_LORA_W,POINT (443118.930089397 4246888.42667808),EPSG:5258,443118.930089397,4246888.42667808,38.35306337055379,38.34926227451911,1580,AT1,P_TİCARET_BAZA_MULTIPOLYGON [144 adet],inside,0.000007081550720472901,high,same_name_primary_layer,insert,,1580|2898
12141,40003102,462461,44797275,POLIMETER_LORA_W,POINT (433431.74765988 4244885.46698209),EPSG:5258,433431.74765988,4244885.46698209,38.33435340301347,38.23863508463238,4656,T3-1,RYA_MER_56_MULTIPOLYGON [1 adet],inside,0,high,,insert,,4656
12143,40035341,464084,44796772,POLIMETER_LORA_W,POINT (434665.717668595 4243706.44141921),EPSG:5258,434665.717668595,4243706.44141921,38.32382348821759,38.252856373588834,258,E1,RYA_MER_60_MULTIPOLYGON [1 adet],inside,0,high,,insert,,258
12144,60002205,462445,44796787,POLIMETER_LORA_W,POINT (440108.569102569 4248177.14745351),EPSG:5258,440108.569102569,4248177.14745351,38.36447611774915,38.31471556805789,3856,T1-1,RYA_MER_30_MULTIPOLYGON [1 adet],inside,0,high,,insert,,3856
12145,640001068,464552,44796818,POLIMETER_LORA_W,POINT (442435.139546023 4246639.40759857),EPSG:5258,442435.139546023,4246639.40759857,38.350776494908544,38.34146028294496,4042,T3-03,RYA_MER_37_MULTIPOLYGON [1 adet],inside,0.0000353496884028622,high,,insert,,4042
12146,640001765,468180,44796734,POLIMETER_LORA_W,POINT (428256.401178147 4242610.19932481),EPSG:5258,428256.401178147,4242610.19932481,38.31345888809348,38.179679237587536,5457,GB7,Maks_Bina,inside,0.004119888401340835,high,,insert,,5457
12150,600002291,462444,44796784,POLIMETER_LORA_W,POINT (440040.873800367 4248216.29171143),EPSG:5258,440040.873800367,4248216.29171143,38.364824203005696,38.313937713587116,3864,T3-4,RYA_MER_30_MULTIPOLYGON [1 adet],inside,0,high,,insert,,3864
12151,640005459,463937,44796840,POLIMETER_LORA_W,POINT (438186.800000375 4245612.71011139),EPSG:5258,438186.800000375,4245612.71011139,38.341244923361394,38.29295267419804,396,BTİC14-1,P_KONUT_DÜKKAN_MULTIPOLYGON [365 adet],inside,0,high,existing_bina_bilgi,insert,,396|4813
12153,40001954,464089,44796916,POLIMETER_LORA_W,POINT (438001.995495585 4245367.12329456),EPSG:5258,438001.995495585,4245367.12329456,38.33901989403707,38.290860513503084,859,D7,P_KONUT_MULTIPOLYGON [727 adet],inside,0.0003811798213423352,high,same_name_primary_layer,insert,,859|3973
12157,640016190,469272,44796767,POLIMETER_LORA_W,POINT (438915.75537724 4248037.26403551),EPSG:5258,438915.75537724,4248037.26403551,38.36313547674962,38.30108030830643,1301,C2-6,P_KONUT_MULTIPOLYGON [727 adet],inside,0,high,same_name_primary_layer,insert,,1301|2385
12159,40031774,464085,44796779,POLIMETER_LORA_W,POINT (434665.717668595 4243706.44141921),EPSG:5258,434665.717668595,4243706.44141921,38.32382348821759,38.252856373588834,258,E1,RYA_MER_60_MULTIPOLYGON [1 adet],inside,0,high,,insert,,258
