source_row,meter_number,installation_number,agreement_number,value,location,crs,source_x,source_y,latitude,longitude,bina_id,bina_value,bina_layer,method,meters,confidence,overlay,action,reason,hitIds
1363,1444130,435392,44749498,BAYLAN_LORA_W,POINT (431556.330900401 4244434.48031137),EPSG:5258,431556.330900401,4244434.48031137,38.3301497330233,38.21723080379691,756,D6B,P_KONUT_MULTIPOLYGON [727 adet],inside,0.00015057954318215317,high,same_name_primary_layer,insert,,756|4729
1364,2825554,436469,44749524,BAYLAN_LORA_W,POINT (436949.598850652 4248317.0933599),EPSG:5258,436949.598850652,4248317.0933599,38.3655199301794,38.27856034867974,161,A16,P_KONUT_MULTIPOLYGON [727 adet],inside,0.00020635133157947033,high,existing_bina_bilgi,insert,,161|3894
1365,1432460,436629,44791299,BAYLAN_LORA_W,POINT (439374.379312165 4247292.83880185),EPSG:5258,439374.379312165,4247292.83880185,38.356460796841354,38.306391469606226,607,A1-8,P_KONUT_DÜKKAN_MULTIPOLYGON [365 adet],inside,0.00019218362781423868,high,same_name_primary_layer,insert,,211|607
1366,1444706,436667,44750175,BAYLAN_LORA_W,POINT (431450.646700402 4244418.02881137),EPSG:5258,431450.646700402,4244418.02881137,38.329993465862636,38.21602382727588,757,A7,P_KONUT_MULTIPOLYGON [727 adet],inside,0.00009454504656927732,high,same_name_primary_layer,insert,,757|4704
1367,2825430,436438,44749084,BAYLAN_LORA_W,POINT (437154.15300038 4248179.19451143),EPSG:5258,437154.15300038,4248179.19451143,38.36429211226129,38.2809130323181,162,A27,P_KONUT_MULTIPOLYGON [727 adet],inside,0.00006757078925108264,high,same_name_primary_layer,insert,,162|3904
1368,1444833,436821,44749500,BAYLAN_LORA_W,POINT (431364.468438763 4244271.83229769),EPSG:5258,431364.468438763,4244271.83229769,38.32866994414504,38.215052526312235,707,A15,P_KONUT_MULTIPOLYGON [727 adet],inside,0.00009690128932840257,high,existing_bina_bilgi,insert,,707|4711
1369,2825282,434669,44749471,BAYLAN_LORA_W,POINT (437014.159800381 4248172.12181143),EPSG:5258,437014.159800381,4248172.12181143,38.364218566680755,38.27931196833599,946,A5,P_KONUT_MULTIPOLYGON [727 adet],inside,0,high,same_name_primary_layer,insert,,946|3883
1370,1444066,438618,44745801,BAYLAN_LORA_W,POINT (431527.539600401 4244415.06321137),EPSG:5258,431527.539600401,4244415.06321137,38.329972626802956,38.21690343730436,755,D6A,P_KONUT_MULTIPOLYGON [727 adet],inside,0.00012347345546679777,high,same_name_primary_layer,insert,,755|4728
1371,1432150,436664,44750037,BAYLAN_LORA_W,POINT (439367.161585377 4247200.87307552),EPSG:5258,439367.161585377,4247200.87307552,38.35563187324564,38.306316803052404,227,A2-13,RYA_MER_19_MULTIPOLYGON [1 adet],inside,0,high,existing_bina_bilgi,insert,,227|590
1372,1444898,436812,44750038,BAYLAN_LORA_W,POINT (431414.214370293 4244285.47998048),EPSG:5258,431414.214370293,4244285.47998048,38.328796687818695,38.21562006919725,749,A14,P_KONUT_MULTIPOLYGON [727 adet],inside,0,high,existing_bina_bilgi,insert,,749|4710
